metric_key,metric_label,category,period,region_scope,region_name,value,unit,source_type,source_document,retrieval_date
pt_reachable_residents_30min,"Erreichbare Einwohner (ÖV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,149318,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
pt_reachable_residents_30min,"Erreichbare Einwohner (ÖV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,120729,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,GEMEINDE,Baden,782800,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,MS_REGION,MS-Region Baden,377822,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,116340,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
pt_reachable_jobs_30min,"Erreichbare Beschäftigte (ÖV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,96526,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,GEMEINDE,Baden,1709479,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,MS_REGION,MS-Region Baden,1660670,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,1286384,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_residents_30min,"Erreichbare Einwohner (MIV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,671419,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,GEMEINDE,Baden,1267831,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,MS_REGION,MS-Region Baden,1258214,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,KANTON,Aargau,958152,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
car_reachable_jobs_30min,"Erreichbare Beschäftigte (MIV, 30 Min.)",MOBILITAET,2025,SCHWEIZ,Schweiz,471915,COUNT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,GEMEINDE,Baden,7.8,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
tax_burden_single_60k_pct,"Steuerbelastung natürliche Personen, Singles, 60'000 CHF",STEUERN,2025,MS_REGION,MS-Region Baden,8.1,PCT,LICENSED_WUEST,baden-ag-standortinformation-2026-07-31.pdf,2026-07-31
