metric_key,metric_label,category,period,region_scope,region_name,value,unit,source_type,source_document,retrieval_date
tax_burden_couple_120k_pct,"Steuerbelastung natürliche Personen, Paare, 120'000 CHF",STEUERN,2025,SCHWEIZ,Schweiz,8.8,PCT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,GEMEINDE,Wohlen (AG),2146,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,MS_REGION,MS-Region Freiamt,12032,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,KANTON,Aargau,112145,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
taxpayers_above_75k_income,Anzahl Steuerpflichtige mit steuerbarem Einkommen > 75'000 CHF,STEUERN,2022,SCHWEIZ,Schweiz,1253455,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,GEMEINDE,Wohlen (AG),4798,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,MS_REGION,MS-Region Freiamt,18628,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,KANTON,Aargau,182125,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
rental_unit_stock,Mietwohnungsbestand,IMMOBILIENBESTAND,2024,SCHWEIZ,Schweiz,2843003,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_unit_stock,Eigentumswohnungsbestand,IMMOBILIENBESTAND,2024,GEMEINDE,Wohlen (AG),1145,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
condo_unit_stock,Eigentumswohnungsbestand,IMMOBILIENBESTAND,2024,MS_REGION,MS-Region Freiamt,7360,COUNT,LICENSED_WUEST,wohlen-ag-standortinformation-2026-08-05.pdf,2026-08-05
